Configuration,Measured-Resistance,Expected Resistance,Pass/Fail
J1-1-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-5-J6,3.40055923,N/A,PASS
J1-1-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-1-J7-J19-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-4-J6,3.54084428,N/A,PASS
J1-2-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-2-J7-J19-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-3-J6,3.40546459,N/A,PASS
J1-3-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-3-J7-J19-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-2-J6,3.54187903,N/A,PASS
J1-4-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-4-J6,9.9e+37,N/A,PASS
